estado,cidade,sorteio,ano,mes,n1,n2,n3,n4,n5,n6,data
rs,porto alegre,1-10-17-24-42-51,2015,6,1,10,17,24,42,51,2015-06-08
rs,fontoura xavier,5-15-43-48-52-55,2010,6,5,15,43,48,52,55,2010-06-10
sp,mauá,4-6-11-24-45-48,2013,6,4,6,11,24,45,48,2013-06-11
es,vila velha,7-12-24-44-51-56,2015,7,7,12,24,44,51,56,2015-07-01
rj,rio de janeiro,8-11-14-30-36-38,2011,7,8,11,14,30,36,38,2011-07-05
al,arapiraca,17-19-33-35-39-52,2015,7,17,19,33,35,39,52,2015-07-05
rn,macaíba,1-15-37-42-46-54,2014,7,1,15,37,42,46,54,2014-07-06
ce,fortaleza,10-11-21-50-51-54,2016,7,10,11,21,50,51,54,2016-07-06
go,rialma,2-6-28-36-51-56,2012,7,2,6,28,36,51,56,2012-07-11
rj,rio de janeiro,1-6-14-17-33-36,2014,8,1,6,14,17,33,36,2014-08-03
sp,são paulo,33-38-47-50-52-55,2010,8,33,38,47,50,52,55,2010-08-05
mg,nepomuceno,4-9-18-44-46-48,2013,8,4,9,18,44,46,48,2013-08-05
pa,uruara,1-7-13-29-37-54,2013,8,1,7,13,29,37,54,2013-08-06
pa,belém,11-20-21-30-50-52,2009,8,11,20,21,30,50,52,2009-08-08
am,manaus,3-8-21-25-27-43,2012,8,3,8,21,25,27,43,2012-08-09
rs,arroio grande,1-6-13-20-36-43,2014,9,1,6,13,20,36,43,2014-09-01
mg,contagem,23-24-26-41-52-53,2013,9,23,24,26,41,52,53,2013-09-02
sp,cotia,12-13-37-44-48-51,2013,9,12,13,37,44,48,51,2013-09-03
sp,são paulo,7-8-12-13-15-41,2010,9,7,8,12,13,15,41,2010-09-06
sp,itapevi,4-12-19-33-36-38,2015,9,4,12,19,33,36,38,2015-09-07
es,vitória,6-10-33-50-51-56,2013,9,6,10,33,50,51,56,2013-09-10
go,goiânia,3-14-20-22-49-51,2011,9,3,14,20,22,49,51,2011-09-11
mg,montes claros,5-10-16-21-39-58,2009,9,5,10,16,21,39,58,2009-09-12
pe,recife,1-3-5-18-40-48,2010,10,1,3,5,18,40,48,2010-10-03
ba,salvador,2-4-5-27-49-59,2012,10,2,4,5,27,49,59,2012-10-03
pr,tupassi,1-11-14-23-42-48,2010,10,1,11,14,23,42,48,2010-10-04
ce,mombaça,17-20-26-27-55-57,2010,10,17,20,26,27,55,57,2010-10-07
pr,ponta grossa,1-8-17-44-46-53,2013,10,1,8,17,44,46,53,2013-10-07
pr,curitiba,9-10-23-33-44-51,2014,10,9,10,23,33,44,51,2014-10-09
sc,florianópolis,4-9-13-17-20-47,2009,10,4,9,13,17,20,47,2009-10-10
rs,estância velha,8-19-21-36-42-59,2011,10,8,19,21,36,42,59,2011-10-12
rj,barra do piraí,8-17-34-38-42-51,2014,10,8,17,34,38,42,51,2014-10-12
rs,são leopoldo,3-11-13-27-32-47,2012,11,3,11,13,27,32,47,2012-11-01
rj,rio de janeiro,25-38-44-46-53-54,2014,11,25,38,44,46,53,54,2014-11-01
es,vitória,2-12-19-22-36-58,2012,11,2,12,19,22,36,58,2012-11-02
mg,pará de minas,10-15-28-33-51-52,2015,11,10,15,28,33,51,52,2015-11-02
pr,toledo,20-29-34-37-45-57,2015,11,20,29,34,37,45,57,2015-11-04
