sorteio,ano,mes,n1,n2,n3,n4,n5,n6,data
9-13-20-32-41-58,2003,9,9,13,20,32,41,58,2003-09-13
3-4-9-29-32-52,2006,9,3,4,9,29,32,52,2006-09-13
29-40-43-44-45-47,2008,9,29,40,43,44,45,47,2008-09-13
8-23-28-30-32-51,2014,9,8,23,28,30,32,51,2014-09-13
5-14-33-36-43-44,1996,10,5,14,33,36,43,44,1996-10-13
7-11-34-41-42-59,2001,10,7,11,34,41,42,59,2001-10-13
6-23-32-35-41-55,2004,10,6,23,32,35,41,55,2004-10-13
3-15-27-29-36-53,2007,10,3,15,27,29,36,53,2007-10-13
5-8-19-26-48-57,2010,10,5,8,19,26,48,57,2010-10-13
16-35-36-41-52-54,2011,10,16,35,36,41,52,54,2011-10-13
4-13-14-40-46-52,2012,10,4,13,14,40,46,52,2012-10-13
15-17-20-31-41-48,2015,10,15,17,20,31,41,48,2015-10-13
4-11-12-19-43-49,1999,11,4,11,12,19,43,49,1999-11-13
2-4-29-33-35-53,2002,11,2,4,29,33,35,53,2002-11-13
5-8-10-27-31-51,2004,11,5,8,10,27,31,51,2004-11-13
5-20-23-27-39-49,2010,11,5,20,23,27,39,49,2010-11-13
2-9-10-18-21-28,2013,11,2,9,10,18,21,28,2013-11-13
10-24-25-36-47-48,2015,11,10,24,25,36,47,48,2015-11-13
6-14-15-25-49-52,2003,12,6,14,15,25,49,52,2003-12-13
6-7-9-20-33-48,2006,12,6,7,9,20,33,48,2006-12-13
1-8-23-37-54-57,2008,12,1,8,23,37,54,57,2008-12-13
13-16-27-43-48-58,2014,12,13,16,27,43,48,58,2014-12-13
1-13-33-38-45-56,2004,1,1,13,33,38,45,56,2004-01-14
5-18-33-43-56-57,2006,1,5,18,33,43,56,57,2006-01-14
2-20-24-27-36-52,2009,1,2,20,24,27,36,52,2009-01-14
2-8-38-42-48-49,2012,1,2,8,38,42,48,49,2012-01-14
28-29-31-45-48-49,2015,1,28,29,31,45,48,49,2015-01-14
6-20-22-31-33-34,2016,1,6,20,22,31,33,34,2016-01-14
3-25-43-45-52-56,2004,2,3,25,43,45,52,56,2004-02-14
7-9-30-44-51-60,2007,2,7,9,30,44,51,60,2007-02-14
3-16-21-28-38-57,2009,2,3,16,21,28,38,57,2009-02-14
9-11-17-19-35-52,2015,2,9,11,17,19,35,52,2015-02-14
8-9-39-44-49-58,2007,3,8,9,39,44,49,58,2007-03-14
6-8-38-50-53-59,2009,3,6,8,38,50,53,59,2009-03-14
3-4-8-11-47-49,2012,3,3,4,8,11,47,49,2012-03-14
9-14-37-44-46-55,2015,3,9,14,37,44,46,55,2015-03-14
1-8-45-46-55-58,2001,4,1,8,45,46,55,58,2001-04-14
15-29-31-42-47-60,2004,4,15,29,31,42,47,60,2004-04-14
4-18-23-31-37-54,2007,4,4,18,23,31,37,54,2007-04-14
11-13-27-34-46-49,2010,4,11,13,27,34,46,49,2010-04-14
3-14-52-55-57-60,2012,4,3,14,52,55,57,60,2012-04-14
17-19-22-26-27-48,2003,5,17,19,22,26,27,48,2003-05-14
1-12-36-38-55-59,2005,5,1,12,36,38,55,59,2005-05-14
13-25-35-41-50-56,2008,5,13,25,35,41,50,56,2008-05-14
8-30-40-44-59-60,2011,5,8,30,40,44,59,60,2011-05-14
3-10-15-35-36-58,2014,5,3,10,15,35,36,58,2014-05-14
2-6-10-15-53-56,2016,5,2,6,10,15,53,56,2016-05-14
5-31-32-36-51-59,2003,6,5,31,32,36,51,59,2003-06-14
10-35-38-51-52-60,2006,6,10,35,38,51,52,60,2006-06-14
12-16-18-27-42-58,2008,6,12,16,18,27,42,58,2008-06-14
5-6-17-43-54-59,2014,6,5,6,17,43,54,59,2014-06-14
5-16-20-25-30-58,2001,7,5,16,20,25,30,58,2001-07-14
15-16-18-28-38-47,2004,7,15,16,18,28,38,47,2004-07-14
2-11-12-14-22-39,2007,7,2,11,12,14,22,39,2007-07-14
3-6-19-20-58-60,2010,7,3,6,19,20,58,60,2010-07-14
7-10-17-24-38-57,2012,7,7,10,17,24,38,57,2012-07-14
41-44-48-50-54-57,2016,7,41,44,48,50,54,57,2016-07-14
6-23-29-39-51-60,1999,8,6,23,29,39,51,60,1999-08-14
22-28-29-43-47-48,2002,8,22,28,29,43,47,48,2002-08-14
6-7-8-13-33-59,2004,8,6,7,8,13,33,59,2004-08-14
4-13-14-26-29-35,2010,8,4,13,14,26,29,35,2010-08-14
11-14-18-30-33-39,2013,8,11,14,18,30,33,39,2013-08-14
23-28-37-40-48-51,1997,9,23,28,37,40,48,51,1997-09-14
6-18-34-42-45-47,2002,9,6,18,34,42,45,47,2002-09-14
8-12-22-27-43-55,2005,9,8,12,22,27,43,55,2005-09-14
4-5-16-18-27-51,2011,9,4,5,16,18,27,51,2011-09-14
10-16-28-33-48-53,2013,9,10,16,28,33,48,53,2013-09-14
11-31-35-40-56-57,2000,10,11,31,35,40,56,57,2000-10-14
2-8-27-32-49-56,2006,10,2,8,27,32,49,56,2006-10-14
1-6-17-27-35-40,2009,10,1,6,17,27,35,40,2009-10-14
10-13-22-41-42-58,1998,11,10,13,22,41,42,58,1998-11-14
14-16-24-37-38-53,2001,11,14,16,24,37,38,53,2001-11-14
3-25-31-41-43-60,2007,11,3,25,31,41,43,60,2007-11-14
4-31-42-52-57-59,2009,11,4,31,42,52,57,59,2009-11-14
12-13-20-30-34-49,2012,11,12,13,20,30,34,49,2012-11-14
1-21-22-27-32-45,2014,11,1,21,22,27,32,45,2014-11-14
9-10-36-50-53-55,2015,11,9,10,36,50,53,55,2015-11-14
2-22-28-31-36-53,1997,12,2,22,28,31,36,53,1997-12-14
12-37-43-55-56-60,2002,12,12,37,43,55,56,60,2002-12-14
9-18-36-44-57-60,2005,12,9,18,36,44,57,60,2005-12-14
7-17-19-26-40-50,2011,12,7,17,19,26,40,50,2011-12-14
1-4-7-10-11-52,2013,12,1,4,7,10,11,52,2013-12-14
12-24-44-45-49-53,2000,1,12,24,44,45,49,53,2000-01-15
17-26-32-36-43-55,2003,1,17,26,32,36,43,55,2003-01-15
1-20-28-32-44-47,2005,1,1,20,28,32,44,47,2005-01-15
3-8-36-40-51-53,2011,1,3,8,36,40,51,53,2011-01-15
18-37-39-41-43-51,2014,1,18,37,39,41,43,51,2014-01-15
19-20-37-42-44-56,1998,2,19,20,37,42,44,56,1998-02-15
3-5-11-14-38-48,2003,2,3,5,11,14,38,48,2003-02-15
14-15-26-30-42-54,2006,2,14,15,26,30,42,54,2006-02-15
25-35-42-45-52-57,2012,2,25,35,42,45,52,57,2012-02-15
6-27-28-33-46-48,2014,2,6,27,28,33,46,48,2014-02-15
5-16-24-35-38-39,1998,3,5,16,24,35,38,39,1998-03-15
7-20-31-32-50-53,2003,3,7,20,31,32,50,53,2003-03-15
1-10-12-25-49-57,2006,3,1,10,12,25,49,57,2006-03-15
2-11-18-27-30-54,2008,3,2,11,18,27,30,54,2008-03-15
1-4-13-17-38-48,2014,3,1,4,13,17,38,48,2014-03-15
7-13-19-22-40-47,1996,4,7,13,19,22,40,47,1996-04-15
7-28-37-46-53-58,2000,4,7,28,37,46,53,58,2000-04-15
4-12-30-47-49-59,2006,4,4,12,30,47,49,59,2006-04-15
7-19-30-39-43-57,2009,4,7,19,30,39,43,57,2009-04-15
24-36-38-43-44-58,2015,4,24,36,38,43,44,58,2015-04-15
1-11-28-33-38-48,1999,5,1,11,28,33,38,48,1999-05-15
16-28-31-41-45-59,2002,5,16,28,31,41,45,59,2002-05-15
5-8-23-34-44-51,2004,5,5,8,23,34,44,51,2004-05-15
5-22-28-47-59-60,2010,5,5,22,28,47,59,60,2010-05-15
2-14-24-28-35-50,2013,5,2,14,24,28,35,50,2013-05-15
12-14-17-27-47-52,1997,6,12,14,17,27,47,52,1997-06-15
1-4-40-42-51-54,2002,6,1,4,40,42,51,54,2002-06-15
6-11-20-34-37-40,2005,6,6,11,20,34,37,40,2005-06-15
9-11-23-30-31-54,2011,6,9,11,23,30,31,54,2011-06-15
3-4-16-22-36-42,2013,6,3,4,16,22,36,42,2013-06-15
6-11-32-40-48-59,2016,6,6,11,32,40,48,59,2016-06-15
5-10-12-24-25-60,1996,7,5,10,12,24,25,60,1996-07-15
13-16-40-43-45-59,2000,7,13,16,40,43,45,59,2000-07-15
8-10-13-39-54-56,2006,7,8,10,13,39,54,56,2006-07-15
17-23-24-27-49-56,2009,7,17,23,24,27,49,56,2009-07-15
14-27-30-46-52-60,2015,7,14,27,30,46,52,60,2015-07-15
3-9-18-21-23-43,1998,8,3,9,18,21,23,43,1998-08-15
3-13-25-33-47-60,2001,8,3,13,25,33,47,60,2001-08-15
3-18-26-51-53-56,2007,8,3,18,26,51,53,56,2007-08-15
7-17-18-33-41-42,2009,8,7,17,18,33,41,42,2009-08-15
3-19-22-24-35-49,2012,8,3,19,22,24,35,49,2012-08-15
3-5-9-14-41-46,2015,8,3,5,9,14,41,46,2015-08-15
3-6-22-24-54-60,1996,9,3,6,22,24,54,60,1996-09-15
3-20-42-46-51-52,2001,9,3,20,42,46,51,52,2001-09-15
5-16-34-38-50-53,2004,9,5,16,34,38,50,53,2004-09-15
18-23-50-52-55-58,2007,9,18,23,50,52,55,58,2007-09-15
5-29-30-36-41-48,2010,9,5,29,30,36,41,48,2010-09-15
7-16-29-36-38-50,2012,9,7,16,29,36,38,50,2012-09-15
3-20-28-46-47-52,2003,10,3,20,28,46,47,52,2003-10-15
2-7-10-17-22-60,2005,10,2,7,10,17,22,60,2005-10-15
7-9-12-19-20-41,2008,10,7,9,12,19,20,41,2008-10-15
10-23-27-43-53-59,2011,10,10,23,27,43,53,59,2011-10-15
10-13-16-22-34-60,2014,10,10,13,16,22,34,60,2014-10-15
15-22-23-42-51-57,2015,10,15,22,23,42,51,57,2015-10-15
15-36-40-42-51-52,2003,11,15,36,40,42,51,52,2003-11-15
12-26-35-38-39-47,1996,12,12,26,35,38,39,47,1996-12-15
11-18-29-44-47-56,2001,12,11,18,29,44,47,56,2001-12-15
8-23-34-39-43-52,2004,12,8,23,34,39,43,52,2004-12-15
4-10-32-33-49-60,2007,12,4,10,32,33,49,60,2007-12-15
8-9-12-22-42-49,2010,12,8,9,12,22,42,49,2010-12-15
2-10-11-33-52-57,2012,12,2,10,11,33,52,57,2012-12-15
12-44-50-52-54-55,1999,1,12,44,50,52,54,55,1999-01-16
10-11-12-24-35-40,2002,1,10,11,12,24,35,40,2002-01-16
7-13-18-29-31-45,2008,1,7,13,18,29,31,45,2008-01-16
3-16-19-24-33-60,2010,1,3,16,19,24,33,60,2010-01-16
4-14-27-38-50-52,2013,1,4,14,27,38,50,52,2013-01-16
1-8-22-49-52-53,2016,1,1,8,22,49,52,53,2016-01-16
6-16-21-44-57-58,1997,2,6,16,21,44,57,58,1997-02-16
4-14-16-31-52-54,2002,2,4,14,16,31,52,54,2002-02-16
13-35-39-45-51-60,2005,2,13,35,39,45,51,60,2005-02-16
16-37-43-52-58-59,2008,2,16,37,43,52,58,59,2008-02-16
11-26-47-55-57-59,2011,2,11,26,47,55,57,59,2011-02-16
4-13-35-54-56-58,2013,2,4,13,35,54,56,58,2013-02-16
5-9-18-21-36-56,1997,3,5,9,18,21,36,56,1997-03-16
11-22-46-51-56-58,2002,3,11,22,46,51,56,58,2002-03-16
11-12-14-19-54-56,2005,3,11,12,14,19,54,56,2005-03-16
6-10-33-39-42-60,2011,3,6,10,33,39,42,60,2011-03-16
3-4-46-50-56-59,2013,3,3,4,46,50,56,59,2013-03-16
6-11-16-19-31-56,2016,3,6,11,16,19,31,56,2016-03-16
4-17-24-42-46-56,2003,4,4,17,24,42,46,56,2003-04-16
35-36-37-46-51-59,2005,4,35,36,37,46,51,59,2005-04-16
2-4-16-21-36-53,2008,4,2,4,16,21,36,53,2008-04-16
2-14-48-55-58-60,2011,4,2,14,48,55,58,60,2011-04-16
4-10-23-33-38-55,2014,4,4,10,23,33,38,55,2014-04-16
9-12-23-24-46-54,2016,4,9,12,23,24,46,54,2016-04-16
4-6-14-20-24-38,1998,5,4,6,14,20,24,38,1998-05-16
10-19-26-28-44-54,2007,5,10,19,26,28,44,54,2007-05-16
3-10-23-29-47-50,2009,5,3,10,23,29,47,50,2009-05-16
1-16-28-39-44-57,2012,5,1,16,28,39,44,57,2012-05-16
25-27-29-37-50-51,2015,5,25,27,29,37,50,51,2015-05-16
22-39-45-53-57-59,2001,6,22,39,45,53,57,59,2001-06-16
3-9-16-20-33-60,2004,6,3,9,16,20,33,60,2004-06-16
4-8-12-41-45-60,2007,6,4,8,12,41,45,60,2007-06-16
9-20-44-52-59-60,2010,6,9,20,44,52,59,60,2010-06-16
14-32-33-40-42-51,2012,6,14,32,33,40,42,51,2012-06-16
14-33-36-38-41-49,2003,7,14,33,36,38,41,49,2003-07-16
4-27-36-37-47-60,2005,7,4,27,36,37,47,60,2005-07-16
13-27-31-34-47-58,2008,7,13,27,31,34,47,58,2008-07-16
3-16-23-25-51-56,2011,7,3,16,23,25,51,56,2011-07-16
3-23-26-31-47-54,2014,7,3,23,26,31,47,54,2014-07-16
5-8-24-30-57-59,2016,7,5,8,24,30,57,59,2016-07-16
17-28-33-36-53-59,2003,8,17,28,33,36,53,59,2003-08-16
2-6-19-22-28-43,2006,8,2,6,19,22,28,43,2006-08-16
7-15-20-21-23-29,2008,8,7,15,20,21,23,29,2008-08-16
20-26-32-41-45-57,2014,8,20,26,32,41,45,57,2014-08-16
7-31-36-45-56-57,2000,9,7,31,36,45,56,57,2000-09-16
19-29-35-42-55-57,2006,9,19,29,35,42,55,57,2006-09-16
6-8-11-14-29-52,2009,9,6,8,11,14,29,52,2009-09-16
11-19-21-23-27-52,2015,9,11,19,21,23,27,52,2015-09-16
4-15-31-38-41-53,1999,10,4,15,31,38,41,53,1999-10-16
24-29-34-47-57-60,2002,10,24,29,34,47,57,60,2002-10-16
6-11-19-27-41-59,2004,10,6,11,19,27,41,59,2004-10-16
15-17-35-42-47-48,2010,10,15,17,35,42,47,48,2010-10-16
8-10-20-26-49-58,2013,10,8,10,20,26,49,58,2013-10-16
13-34-42-44-55-59,1997,11,13,34,42,44,55,59,1997-11-16
16-26-35-45-52-58,2002,11,16,26,35,45,52,58,2002-11-16
7-8-17-35-39-53,2005,11,7,8,17,35,39,53,2005-11-16
20-21-30-40-47-52,2006,11,20,21,30,40,47,52,2006-11-16
5-21-31-39-40-56,2008,11,5,21,31,39,40,56,2008-11-16
2-20-35-38-45-51,2011,11,2,20,35,38,45,51,2011-11-16
19-41-42-44-47-54,2013,11,19,41,42,44,47,54,2013-11-16
7-25-41-42-43-55,2000,12,7,25,41,42,43,55,2000-12-16
10-21-28-40-41-47,2006,12,10,21,28,40,41,47,2006-12-16
4-5-6-19-23-39,2009,12,4,5,6,19,23,39,2009-12-16
11-26-27-30-34-41,2015,12,11,26,27,30,34,41,2015-12-16
1-6-21-25-32-49,2004,1,1,6,21,25,32,49,2004-01-17
10-16-17-34-44-51,2007,1,10,16,17,34,44,51,2007-01-17
1-6-28-39-44-55,2009,1,1,6,28,39,44,55,2009-01-17
1-17-19-30-33-47,2015,1,1,17,19,30,33,47,2015-01-17
13-15-20-33-43-58,2001,2,13,15,20,33,43,58,2001-02-17
1-16-34-36-45-48,2007,2,1,16,34,36,45,48,2007-02-17
4-12-14-21-26-28,2010,2,4,12,14,21,26,28,2010-02-17
12-18-46-50-53-55,2016,2,12,18,46,50,53,55,2016-02-17
8-9-26-43-50-53,2001,3,8,9,26,43,50,53,2001-03-17
4-5-13-17-46-54,2004,3,4,5,13,17,46,54,2004-03-17
7-22-25-44-59-60,2007,3,7,22,25,44,59,60,2007-03-17
18-22-25-30-31-41,2010,3,18,22,25,30,31,41,2010-03-17
3-36-40-46-58-60,2012,3,3,36,40,46,58,60,2012-03-17
8-27-36-41-53-56,1999,4,8,27,36,41,53,56,1999-04-17
7-16-38-40-41-52,2002,4,7,16,38,40,41,52,2002-04-17
5-23-31-33-45-49,2004,4,5,23,31,33,45,49,2004-04-17
3-10-13-30-41-57,2010,4,3,10,13,30,41,57,2010-04-17
1-6-10-34-40-54,2013,4,1,6,10,34,40,54,2013-04-17
2-3-7-18-45-53,2003,5,2,3,7,18,45,53,2003-05-17
5-21-28-34-54-57,2008,5,5,21,28,34,54,57,2008-05-17
9-23-32-35-46-57,2014,5,9,23,32,35,46,57,2014-05-17
12-33-35-51-52-60,1996,6,12,33,35,51,52,60,1996-06-17
7-16-18-20-21-44,2000,6,7,16,18,20,21,44,2000-06-17
3-5-14-29-34-51,2006,6,3,5,14,29,34,51,2006-06-17
10-20-23-28-42-43,2009,6,10,20,23,28,42,43,2009-06-17
2-8-24-36-51-52,2015,6,2,8,24,36,51,52,2015-06-17
1-3-4-28-45-53,1999,7,1,3,4,28,45,53,1999-07-17
24-33-40-41-55-59,2002,7,24,33,40,41,55,59,2002-07-17
14-17-25-30-39-52,2004,7,14,17,25,30,39,52,2004-07-17
36-37-39-49-54-60,2010,7,36,37,39,49,54,60,2010-07-17
11-28-35-42-46-58,2013,7,11,28,35,42,46,58,2013-07-17
8-17-18-23-33-53,1997,8,8,17,18,23,33,53,1997-08-17
23-36-48-52-53-58,2002,8,23,36,48,52,53,58,2002-08-17
8-16-37-50-55-58,2005,8,8,16,37,50,55,58,2005-08-17
7-9-12-19-45-54,2011,8,7,9,12,19,45,54,2011-08-17
5-8-23-32-33-56,2013,8,5,8,23,32,33,56,2013-08-17
9-40-41-50-55-58,2016,8,9,40,41,50,55,58,2016-08-17
2-6-28-49-50-57,2003,9,2,6,28,49,50,57,2003-09-17
4-6-12-37-41-42,2008,9,4,6,12,37,41,42,2008-09-17
17-24-25-38-41-55,2011,9,17,24,25,38,41,55,2011-09-17
19-26-33-35-51-52,2014,9,19,26,33,35,51,52,2014-09-17
15-16-19-22-26-49,1998,10,15,16,19,22,26,49,1998-10-17
5-11-27-38-53-60,2001,10,5,11,27,38,53,60,2001-10-17
1-6-28-29-46-49,2007,10,1,6,28,29,46,49,2007-10-17
8-20-21-43-44-55,2009,10,8,20,21,43,44,55,2009-10-17
3-18-22-34-55-58,2012,10,3,18,22,34,55,58,2012-10-17
9-36-37-53-55-60,2015,10,9,36,37,53,55,60,2015-10-17
6-7-22-38-52-60,1996,11,6,7,22,38,52,60,1996-11-17
5-32-34-37-40-58,2001,11,5,32,34,37,40,58,2001-11-17
2-12-16-24-26-54,2004,11,2,12,16,24,26,54,2004-11-17
5-17-24-52-55-57,2007,11,5,17,24,52,55,57,2007-11-17
8-11-12-15-18-22,2010,11,8,11,12,15,18,22,2010-11-17
12-20-32-48-52-54,2012,11,12,20,32,48,52,54,2012-11-17
28-39-40-44-45-58,2003,12,28,39,40,44,45,58,2003-12-17
1-6-16-36-50-52,2005,12,1,6,16,36,50,52,2005-12-17
24-33-40-43-46-49,2008,12,24,33,40,43,46,49,2008-12-17
12-32-40-47-48-59,2011,12,12,32,40,47,48,59,2011-12-17
4-16-18-31-45-46,2013,12,4,16,18,31,45,46,2013-12-17
10-14-25-29-33-57,2014,12,10,14,25,29,33,57,2014-12-17
13-14-31-33-35-43,1998,1,13,14,31,33,35,43,1998-01-18
8-10-21-25-38-50,2003,1,8,10,21,25,38,50,2003-01-18
2-15-16-45-50-54,2006,1,2,15,16,45,50,54,2006-01-18
11-17-24-39-46-49,2012,1,11,17,24,39,46,49,2012-01-18
5-6-11-32-36-60,2014,1,5,6,11,32,36,60,2014-01-18
6-16-19-47-50-55,2004,2,6,16,19,47,50,55,2004-02-18
6-10-35-45-49-56,2006,2,6,10,35,45,49,56,2006-02-18
2-5-17-29-34-52,2009,2,2,5,17,29,34,52,2009-02-18
10-13-20-40-44-53,2012,2,10,13,20,40,44,53,2012-02-18
1-2-27-28-46-47,2015,2,1,2,27,28,46,47,2015-02-18
9-37-39-41-43-49,1996,3,9,37,39,41,43,49,1996-03-18
10-20-33-40-45-50,2000,3,10,20,33,40,45,50,2000-03-18
2-3-12-21-23-56,2006,3,2,3,12,21,23,56,2006-03-18
2-3-4-15-49-59,2009,3,2,3,4,15,49,59,2009-03-18
15-24-37-46-49-58,2015,3,15,24,37,46,49,58,2015-03-18
4-22-25-32-33-52,1998,4,4,22,25,32,33,52,1998-04-18
9-12-34-46-47-57,2007,4,9,12,34,46,47,57,2007-04-18
6-10-25-32-43-49,2009,4,6,10,25,32,43,49,2009-04-18
11-27-30-40-44-57,2012,4,11,27,30,40,44,57,2012-04-18
1-12-17-31-37-46,2015,4,1,12,17,31,37,46,2015-04-18
9-25-26-40-41-49,1997,5,9,25,26,40,41,49,1997-05-18
7-20-33-37-46-56,2002,5,7,20,33,37,46,56,2002-05-18
7-8-18-25-47-48,2005,5,7,8,18,25,47,48,2005-05-18
3-7-45-47-53-55,2006,5,3,7,45,47,53,55,2006-05-18
20-21-26-29-31-36,2011,5,20,21,26,29,31,36,2011-05-18
4-13-14-44-49-57,2013,5,4,13,14,44,49,57,2013-05-18
17-18-26-30-33-37,2016,5,17,18,26,30,33,37,2016-05-18
3-4-12-29-38-51,2003,6,3,4,12,29,38,51,2003-06-18
18-22-29-32-38-42,2005,6,18,22,29,32,38,42,2005-06-18
3-15-28-31-39-51,2008,6,3,15,28,31,39,51,2008-06-18
1-13-24-40-44-50,2011,6,1,13,24,40,44,50,2011-06-18
2-6-13-26-53-60,2014,6,2,6,13,26,53,60,2014-06-18
7-13-24-30-32-53,2016,6,7,13,24,30,32,53,2016-06-18
5-15-34-41-52-57,1998,7,5,15,34,41,52,57,1998-07-18
4-13-31-33-47-51,2007,7,4,13,31,33,47,51,2007-07-18
1-9-30-33-34-40,2009,7,1,9,30,33,34,40,2009-07-18
18-29-31-42-43-53,2012,7,18,29,31,42,43,53,2012-07-18
27-33-37-39-58-60,2015,7,27,33,37,39,58,60,2015-07-18
6-9-11-17-18-50,2001,8,6,9,11,17,18,50,2001-08-18
4-5-18-25-28-51,2004,8,4,5,18,25,28,51,2004-08-18
20-24-28-37-41-44,2007,8,20,24,28,37,41,44,2007-08-18
2-6-11-36-37-48,2010,8,2,6,11,36,37,48,2010-08-18
5-12-45-52-56-59,2012,8,5,12,45,52,56,59,2012-08-18
17-22-43-46-55-59,1999,9,17,22,43,46,55,59,1999-09-18
1-2-5-24-32-46,2002,9,1,2,5,24,32,46,2002-09-18
4-6-9-23-45-51,2004,9,4,6,9,23,45,51,2004-09-18
10-25-30-47-50-51,2010,9,10,25,30,47,50,51,2010-09-18
12-13-24-41-42-44,2013,9,12,13,24,41,42,44,2013-09-18
4-15-31-34-37-38,2003,10,4,15,31,34,37,38,2003-10-18
2-15-21-31-46-57,2006,10,2,15,21,31,46,57,2006-10-18
8-9-25-41-57-60,2008,10,8,9,25,41,57,60,2008-10-18
8-18-21-31-37-38,2014,10,8,18,21,31,37,38,2014-10-18
2-16-32-37-43-57,2000,11,2,16,32,37,43,57,2000-11-18
10-29-30-34-43-52,2006,11,10,29,30,34,43,52,2006-11-18
5-8-14-24-29-30,2009,11,5,8,14,24,29,30,2009-11-18
26-32-42-45-55-59,2015,11,26,32,42,45,55,59,2015-11-18
1-8-18-23-35-40,1999,12,1,8,18,23,35,40,1999-12-18
8-22-32-33-40-53,2002,12,8,22,32,33,40,53,2002-12-18
12-24-32-40-42-59,2004,12,12,24,32,40,42,59,2004-12-18
10-13-25-26-28-45,2010,12,10,13,25,26,28,45,2010-12-18
2-14-28-50-57-58,2012,12,2,14,28,50,57,58,2012-12-18
1-23-24-32-46-60,1997,1,1,23,24,32,46,60,1997-01-19
2-4-14-23-37-51,2002,1,2,4,14,23,37,51,2002-01-19
2-19-28-48-51-54,2005,1,2,19,28,48,51,54,2005-01-19
5-14-22-29-33-44,2008,1,5,14,22,29,33,44,2008-01-19
1-2-24-40-51-59,2011,1,1,2,24,40,51,59,2011-01-19
31-36-44-47-49-54,2013,1,31,36,44,47,49,54,2013-01-19
3-7-19-24-53-55,2000,2,3,7,19,24,53,55,2000-02-19
13-20-29-42-43-57,2003,2,13,20,29,42,43,57,2003-02-19
12-19-42-46-59-60,2005,2,12,19,42,46,59,60,2005-02-19
4-6-39-46-54-58,2011,2,4,6,39,46,54,58,2011-02-19
1-4-5-14-45-56,2014,2,1,4,5,14,45,56,2014-02-19
8-11-12-17-20-47,2003,3,8,11,12,17,20,47,2003-03-19
5-23-29-42-45-48,2005,3,5,23,29,42,45,48,2005-03-19
1-16-39-42-48-55,2008,3,1,16,39,42,48,55,2008-03-19
4-20-30-41-47-58,2011,3,4,20,30,41,47,58,2011-03-19
2-9-17-18-45-47,2014,3,2,9,17,18,45,47,2014-03-19
6-19-34-43-45-54,2016,3,6,19,34,43,45,54,2016-03-19
2-14-15-17-50-59,2003,4,2,14,15,17,50,59,2003-04-19
5-27-37-38-41-50,2006,4,5,27,37,38,41,50,2006-04-19
2-11-40-48-49-55,2008,4,2,11,40,48,49,55,2008-04-19
31-36-38-41-42-49,2014,4,31,36,38,41,42,49,2014-04-19
9-10-24-36-56-58,2001,5,9,10,24,36,56,58,2001-05-19
10-13-20-32-38-49,2004,5,10,13,20,32,38,49,2004-05-19
21-22-25-40-51-57,2007,5,21,22,25,40,51,57,2007-05-19
12-30-34-44-57-60,2010,5,12,30,34,44,57,60,2010-05-19
4-19-27-28-29-31,2012,5,4,19,27,28,29,31,2012-05-19
10-14-26-35-36-49,1999,6,10,14,26,35,36,49,1999-06-19
4-18-23-33-39-60,2002,6,4,18,23,33,39,60,2002-06-19
6-17-22-29-40-59,2004,6,6,17,22,29,40,59,2004-06-19
14-21-27-31-35-50,2010,6,14,21,27,31,35,50,2010-06-19
2-10-12-30-41-42,2013,6,2,10,12,30,41,42,2013-06-19
6-13-22-24-42-44,2003,7,6,13,22,24,42,44,2003-07-19
2-11-23-35-42-59,2006,7,2,11,23,35,42,59,2006-07-19
8-17-46-48-56-60,2008,7,8,17,46,48,56,60,2008-07-19
9-20-24-43-51-52,2014,7,9,20,24,43,51,52,2014-07-19
1-8-14-28-33-43,1996,8,1,8,14,28,33,43,1996-08-19
3-7-24-32-36-45,2000,8,3,7,24,32,36,45,2000-08-19
9-14-19-35-42-58,2006,8,9,14,19,35,42,58,2006-08-19
6-7-10-12-24-57,2009,8,6,7,10,12,24,57,2009-08-19
12-17-25-29-41-52,2015,8,12,17,25,29,41,52,2015-08-19
5-6-19-34-39-57,1998,9,5,6,19,34,39,57,1998-09-19
1-20-28-33-36-41,2001,9,1,20,28,33,36,41,2001-09-19
17-23-48-50-53-54,2005,9,17,23,48,50,53,54,2005-09-19
5-17-20-32-41-55,2007,9,5,17,20,32,41,55,2007-09-19
6-14-26-28-42-45,2009,9,6,14,26,28,42,45,2009-09-19
6-15-18-24-30-44,2012,9,6,15,18,24,30,44,2012-09-19
4-10-29-31-34-35,2015,9,4,10,29,31,34,35,2015-09-19
6-15-30-37-45-47,1997,10,6,15,30,37,45,47,1997-10-19
2-12-32-38-47-48,2002,10,2,12,32,38,47,48,2002-10-19
1-8-10-36-43-51,2005,10,1,8,10,36,43,51,2005-10-19
7-8-11-39-43-50,2011,10,7,8,11,39,43,50,2011-10-19
3-17-27-32-47-54,2013,10,3,17,27,32,47,54,2013-10-19
15-16-39-45-48-57,2003,11,15,16,39,45,48,57,2003-11-19
4-12-24-33-36-54,2005,11,4,12,24,33,36,54,2005-11-19
2-7-8-18-40-45,2008,11,2,7,8,18,40,45,2008-11-19
1-18-19-33-43-60,2011,11,1,18,19,33,43,60,2011-11-19
7-16-33-42-50-58,2014,11,7,16,33,42,50,58,2014-11-19
25-32-34-42-51-60,1998,12,25,32,34,42,51,60,1998-12-19
26-31-33-40-49-54,2001,12,26,31,33,40,49,54,2001-12-19
6-7-8-27-45-53,2006,12,6,7,8,27,45,53,2006-12-19
16-27-35-39-49-57,2007,12,16,27,35,39,49,57,2007-12-19
